!	1	418													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Erotate	Ftm	Etm	R
#unit	n	n	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	0	165	6.00E+10	1.67	6.00E+12	0	10	6.00E+12	0.01	4.146403137	6.00E+12	10	6.00E+12	-4	2.24E+00
	0	166	6.00E+10	1.68	6.00E+12	0	10	6.00E+12	0.01	4.150532455	6.00E+12	10	6.00E+12	-4	2.24E+00
	0	167	6.00E+10	1.69	6.00E+12	0	10	6.00E+12	0.01	4.154636971	6.00E+12	10	6.00E+12	-4	2.24E+00
	0	168	6.00E+10	1.7	6.00E+12	0	10	6.00E+12	0.01	4.158716984	6.00E+12	10	6.00E+12	-4	2.25E+00
	0	169	6.00E+10	1.71	6.00E+12	0	10	6.00E+12	0.01	4.162772782	6.00E+12	10	6.00E+12	-4	2.25E+00
	0	170	6.00E+10	1.72	6.00E+12	0	10	6.00E+12	0.01	4.166804652	6.00E+12	10	6.00E+12	-4	2.25E+00
	0	171	6.00E+10	1.73	6.00E+12	0	10	6.00E+12	0.01	4.170812875	6.00E+12	10	6.00E+12	-4	2.25E+00
	0	172	6.00E+10	1.74	6.00E+12	0	10	6.00E+12	0.01	4.174797725	6.00E+12	10	6.00E+12	-4	2.26E+00
	0	173	6.00E+10	1.75	6.00E+12	0	10	6.00E+12	0.01	4.178759476	6.00E+12	10	6.00E+12	-4	2.26E+00
	0	174	6.00E+10	1.76	6.00E+12	0	10	6.00E+12	0.01	4.182698391	6.00E+12	10	6.00E+12	-4	2.26E+00
	0	175	6.00E+10	1.77	6.00E+12	0	10	6.00E+12	0.01	4.186614735	6.00E+12	10	6.00E+12	-4	2.27E+00
	0	176	6.00E+10	1.78	6.00E+12	0	10	6.00E+12	0.01	4.190508762	6.00E+12	10	6.00E+12	-4	2.27E+00
	0	177	6.00E+10	1.79	6.00E+12	0	10	6.00E+12	0.01	4.194380727	6.00E+12	10	6.00E+12	-4	2.27E+00
	0	178	6.00E+10	1.8	6.00E+12	0	10	6.00E+12	0.01	4.198230878	6.00E+12	10	6.00E+12	-4	2.28E+00
	0	179	6.00E+10	1.81	6.00E+12	0	10	6.00E+12	0.01	4.20205946	6.00E+12	10	6.00E+12	-4	2.28E+00
	0	180	6.00E+10	1.82	6.00E+12	0	10	6.00E+12	0.01	4.205866712	6.00E+12	10	6.00E+12	-4	2.28E+00
	0	181	6.00E+10	1.83	6.00E+12	0	10	6.00E+12	0.01	4.209652871	6.00E+12	10	6.00E+12	-4	2.29E+00
	0	182	6.00E+10	1.84	6.00E+12	0	10	6.00E+12	0.01	4.21341817	6.00E+12	10	6.00E+12	-4	2.29E+00
	0	183	6.00E+10	1.85	6.00E+12	0	10	6.00E+12	0.01	4.217162837	6.00E+12	10	6.00E+12	-4	2.29E+00
	0	184	6.00E+10	1.86	6.00E+12	0	10	6.00E+12	0.01	4.220887097	6.00E+12	10	6.00E+12	-4	2.29E+00
	0	185	6.00E+10	1.87	6.00E+12	0	10	6.00E+12	0.01	4.224591171	6.00E+12	10	6.00E+12	-4	2.30E+00
	0	186	6.00E+10	1.88	6.00E+12	0	10	6.00E+12	0.01	4.228275277	6.00E+12	10	6.00E+12	-4	2.30E+00
	0	187	6.00E+10	1.89	6.00E+12	0	10	6.00E+12	0.01	4.231939629	6.00E+12	10	6.00E+12	-4	2.30E+00
	0	188	6.00E+10	1.9	6.00E+12	0	10	6.00E+12	0.01	4.235584437	6.00E+12	10	6.00E+12	-4	2.31E+00
	0	189	6.00E+10	1.91	6.00E+12	0	10	6.00E+12	0.01	4.23920991	6.00E+12	10	6.00E+12	-4	2.31E+00
	0	190	6.00E+10	1.92	6.00E+12	0	10	6.00E+12	0.01	4.242816251	6.00E+12	10	6.00E+12	-4	2.31E+00
	0	191	6.00E+10	1.93	6.00E+12	0	10	6.00E+12	0.01	4.246403661	6.00E+12	10	6.00E+12	-4	2.31E+00
