#step	time	cpu_time	id	type	size1	size2	id	type	size1	size2	react	id	type	size1	size2	id	type	size1	size2
51537808	0.000108623	30.581	1073	1	1	0	1083	2	1	0	anneal	-	-	-	-	-	-	-	-
52560484	0.000109114	31.552	1128	5	1	6	-	-	-	-	trap_mutation	1129	2	2	0	1130	4	1	6
52809012	0.000109162	31.829	1135	4	217	512	-	-	-	-	trap_mutation	1136	2	1	0	1137	4	218	512
52894393	0.000109228	31.929	1141	3	0	6	-	-	-	-	trap_mutation	1142	2	1	0	1143	4	1	6
53055652	0.000109267	32.08	1150	4	217	512	-	-	-	-	trap_mutation	1151	2	1	0	1152	4	218	512
53055755	0.000109267	32.081	1153	4	217	512	-	-	-	-	trap_mutation	1154	2	1	0	1155	4	218	512
53055772	0.000109267	32.081	1156	4	217	512	-	-	-	-	trap_mutation	1157	2	1	0	1158	4	218	512
53056197	0.000109267	32.082	1159	4	217	512	-	-	-	-	trap_mutation	1160	2	1	0	1161	4	218	512
53057383	0.000109268	32.083	1162	4	217	512	-	-	-	-	trap_mutation	1163	2	1	0	1164	4	218	512
53103273	0.00010928	32.136	1165	3	0	6	-	-	-	-	trap_mutation	1166	2	1	0	1167	4	1	6
53127496	0.000109286	32.158	1166	2	1	0	509	1	1	0	anneal	-	-	-	-	-	-	-	-
53308955	0.000122459	32.361	1179	5	7	4	-	-	-	-	trap_mutation	1180	2	8	0	1181	4	1	4
53517088	0.000122497	32.557	1183	4	218	514	-	-	-	-	trap_mutation	1184	2	1	0	1185	4	219	514
53550445	0.000122503	32.597	1184	2	1	0	1076	1	1	0	anneal	-	-	-	-	-	-	-	-
60920315	0.000126729	39.304	-	-	-	-	-	-	-	-	cascade.100.3.txt	-	-	-	-	-	-	-	-
60920315	0.000126729	39.305	1187	1	1	0	1197	2	1	0	anneal	-	-	-	-	-	-	-	-
60920316	0.000126729	39.305	1205	2	1	0	1195	1	1	0	anneal	-	-	-	-	-	-	-	-
61126998	0.000126736	39.538	1228	4	218	514	-	-	-	-	trap_mutation	1229	2	1	0	1230	4	219	514
