!	50	1													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Echdir	Ftm	Etm	R
#unit	n/a	n/a	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	132	0	0	-4	6.00E+12	1.68	3.122483719	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.447625422
	133	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.453940273
	134	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.460223549
	135	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.466475642
	136	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.472696937
	137	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.47888781
	138	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.485048629
	139	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.491179757
	140	0	0	-4	6.00E+12	1.68	2.501318319	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.49728155
	141	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.503354355
	142	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.509398515
	143	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.515414364
	144	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.521402232
	145	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.527362443
	146	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.533295313
	147	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.539201154
	148	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.545080271
	149	0	0	-4	6.00E+12	1.68	2.501318319	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.550932965
	150	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.556759531
	151	0	0	-4	6.00E+12	1.68	3.122483719	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.562560258
	152	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.568335431
	153	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.574085329
	154	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.579810228
	155	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.585510397
	156	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.591186102
	157	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.596837603
	158	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.602465156
	159	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.608069015
	160	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.613649426
	161	0	0	-4	6.00E+12	1.68	2.501318319	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.619206634
	162	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.624740878
	163	0	0	-4	6.00E+12	1.68	2.91635088	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.630252394
	164	0	0	-4	6.00E+12	1.68	2.843028461	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.635741413
	165	0	0	-4	6.00E+12	1.68	2.91635088	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.641208165
	166	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.646652873
	167	0	0	-4	6.00E+12	1.68	2.775239809	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.652075759
	168	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.657477039
	169	0	0	-4	6.00E+12	1.68	3.33	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.662856928
	170	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.668215636
	171	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.673553371
	172	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.678870336
	173	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.684166733
	174	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.689442758
	175	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.694698608
	176	0	0	-4	6.00E+12	1.68	1.184281656	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.699934473
	177	0	0	-4	6.00E+12	1.68	2.499934877	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.705150542
	178	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.710347003
	179	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.715524037
	180	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.720681825
	181	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.725820546
	182	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.730940375
	183	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.736041483
	184	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.741124042
	185	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.746188219
	186	0	0	-4	6.00E+12	1.68	2.501318319	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.75123418
	187	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.756262087
	188	0	0	-4	6.00E+12	1.68	3.122483719	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.761272101
	189	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.76626438
	190	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.771239081
	191	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.776196357
	192	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.78113636
	193	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.78605924
	194	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.790965145
	195	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.79585422
	196	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.800726608
	197	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.805582452
	198	0	0	-4	6.00E+12	1.68	2.639662506	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.81042189
	199	0	0	-4	6.00E+12	1.68	2.704684274	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.815245062
	200	0	0	-4	6.00E+12	1.68	2.91635088	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.820052102
	201	0	0	-4	6.00E+12	1.68	2.844411903	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.824843146
